REGION,MARKET,BRM,BLDIMAGE,BRANDDIFFERENTIATOR,BRANDFAMILY,BRANDONMARKET,BRANDSUBFAMILY,BRANDSUBFAMILYGROUP,BRANDSUBFAMILYGROUPING,BRANDSUBFAMILYLINE,CHARINDICATOR,BRMID,INDICATOR,RTYPE,INTERNATIONALINDICATOR,ISREPLACEMENT,ISSTRATEGIC,ITEMSHAPE,ITEMSCODE,LATESTPERIODINDEX,LEN,LENCATEGORY,PRICECLASS,LOCALCLASS,MARKETEDBRAND,MINDICATOR,NCON,NPLLAUNCHDATE,NPLLAUNCHYEAR,PCKT,PRICECLASSON,TCLASS,RETAILPACKPRICE,SPECIALFLAVOR,TRCONTE,THICATEGORY,TIPCOLOR,TRACKINGSTATUS,Market_Share
REGION1,MARKET7,BRM36,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET36,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038893,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND36,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001439601574
REGION1,MARKET7,BRM37,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET37,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040489,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND37,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.002880755219
REGION1,MARKET7,BRM38,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET38,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078730,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND38,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,27,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.02887028958
REGION1,MARKET7,BRM58,BLDIMAGE9,BRANDDIFFERENTIATOR267,BRANDFAMILY12,BRANDONMARKET58,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078732,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND58,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,29.25,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.01892156028
REGION1,MARKET7,BRM73,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET73,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038898,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND73,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0009280277681
REGION1,MARKET7,BRM74,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET74,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040491,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND74,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001608591319
REGION1,MARKET7,BRM75,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET75,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078735,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND75,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,27,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.01085884839
REGION1,MARKET7,BRM246,BLDIMAGE9,BRANDDIFFERENTIATOR121,BRANDFAMILY18,BRANDONMARKET246,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,60098895,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND246,MINDICATOR2,0,201601,NPLLAUNCHYEAR9,PCKT11,PRICECLASSON2,TCLASS1,17.4,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS1,0.003352057208
REGION1,MARKET7,BRM248,BLDIMAGE9,BRANDDIFFERENTIATOR148,BRANDFAMILY18,BRANDONMARKET248,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,60098896,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND248,MINDICATOR2,0,201601,NPLLAUNCHYEAR9,PCKT11,PRICECLASSON2,TCLASS2,17.4,SPECIALFLAVOR7,9,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS1,0.005235832357
REGION1,MARKET7,BRM251,BLDIMAGE9,BRANDDIFFERENTIATOR259,BRANDFAMILY18,BRANDONMARKET251,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,50059221,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND251,MINDICATOR2,0,200808,NPLLAUNCHYEAR1,PCKT11,PRICECLASSON2,TCLASS1,15.6,SPECIALFLAVOR7,13,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.00249707815
REGION1,MARKET7,BRM252,BLDIMAGE9,BRANDDIFFERENTIATOR259,BRANDFAMILY18,BRANDONMARKET252,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,60038894,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND252,MINDICATOR2,0,201108,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS1,22.8,SPECIALFLAVOR7,13,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.004013639554
REGION1,MARKET7,BRM254,BLDIMAGE9,BRANDDIFFERENTIATOR1,BRANDFAMILY18,BRANDONMARKET254,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,50063965,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND254,MINDICATOR1,0,200904,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON2,TCLASS2,15.6,SPECIALFLAVOR7,7,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,7.95E-05
REGION1,MARKET7,BRM255,BLDIMAGE9,BRANDDIFFERENTIATOR425,BRANDFAMILY18,BRANDONMARKET255,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,50075645,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,99,LENCATEGORY1,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND255,MINDICATOR2,0,201010,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON2,TCLASS2,12.65,SPECIALFLAVOR7,9,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.003045616196
REGION1,MARKET7,BRM256,BLDIMAGE9,BRANDDIFFERENTIATOR425,BRANDFAMILY18,BRANDONMARKET256,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,60038895,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND256,MINDICATOR2,0,201108,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS1,22.8,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.01156136199
REGION1,MARKET7,BRM257,BLDIMAGE9,BRANDDIFFERENTIATOR493,BRANDFAMILY18,BRANDONMARKET257,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,50075646,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,99,LENCATEGORY1,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND257,MINDICATOR2,0,201010,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON2,TCLASS2,12.65,SPECIALFLAVOR7,7,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.002108406793
